iterations	round	a	b	c	num	cur	d	e	f	g	h	i	j	k	l	m	n
10	10	6.1017	3.8154	9.8806	1.1933	0.911	4.7714	1.0343	0.8763	1.0175	0.9083	0.8454	0.8091	0.968	13.1899	0.3374	1.048
20	1	5.5453	4.2343	9.3931	1.0275	1.1263	4.9708	1.9692	1.1259	0.7049	1.0264	0.585	0.7217	1.0167	13.2529	0.3611	1.649
20	2	5.243	4.4008	9.3743	0.979	1.0622	5.0813	1.0415	0.9093	0.8743	0.9528	1.009	1.1432	1.124	12.9606	0.5575	0.6726
20	3	5.1733	4.0175	9.7622	0.8683	1.0203	5.6276	0.9989	0.9302	1.1803	1.0642	0.9544	0.9304	0.9929	13.0375	0.5758	1.5573
20	4	4.7667	3.2675	9.282	1.0451	1.065	6.3551	1.1837	1.0005	0.9368	1.0391	0.7961	0.7423	1.135	12.3536	0.5848	1.6119
20	5	6.1288	4.5282	9.1221	0.9825	1.25	5.2414	0.9907	1.0445	1.0463	0.9756	0.9916	0.6876	0.8418	13.2012	0.4127	1.1621
20	6	9.1732	3.7773	9.3803	0.9468	1.0001	4.4367	1.228	1.1462	0.9842	7.4812	1.0003	0.6954	1.0151	13.4359	0.4229	1.071
20	7	4.7482	4.0164	10.4606	0.8796	0.9207	5.1943	1.0767	1.0807	1.199	0.9997	0.955	0.9053	1.054	13.0459	0.4093	0.7811
20	8	6.4779	3.9421	10.0846	0.9246	1.1191	4.7341	1.0537	1.013	0.9707	0.8797	0.7475	0.828	0.9554	13.206	0.3322	0.916
20	9	6.0862	4.0069	10.0635	1.0011	1.0921	5.5625	1.0208	1.0319	0.8629	1.5907	1.0826	0.6417	1.0525	13.1702	0.3332	0.7341
20	10	5.4921	3.6036	5.3025	1.2867	0.9272	5.4126	0.9898	0.931	0.9149	0.9377	0.9443	0.5448	1.125	13.0043	0.5974	0.8497
100	1	5.8052	3.4412	10.0265	1.0338	1.0879	5.1548	0.8902	0.9287	0.9549	0.925	1.6417	0.8309	0.9839	13.4456	0.5841	0.886
100	2	5.5044	4.1724	9.6375	1.0188	1.2568	6.0416	1.0363	0.7502	0.995	0.991	0.8239	0.8301	0.9229	13.0265	0.562	0.7886
100	3	5.4004	4.9946	9.4571	1.018	1.0251	5.5037	1.3906	1.0384	1.0019	0.9672	0.9348	1.0479	1.0003	13.1785	0.5782	0.8697
100	4	5.655	3.8096	9.7852	0.9327	0.9345	4.9879	1.2694	1.0612	0.9401	0.9125	0.9883	0.9658	0.9566	12.679	0.5961	0.8323
100	5	5.9659	4.8162	9.2391	1.0254	1.0187	5.0639	0.9931	1.0206	0.8382	0.9514	0.9166	0.8079	0.9727	12.7926	0.3521	0.9114
100	6	5.5082	4.2117	9.8763	1.0069	1.0273	6.1167	1.0193	0.9489	0.8978	0.9124	0.9874	0.862	0.9715	12.7069	0.3296	1.0513
100	7	5.4599	3.3945	9.8008	1.049	1.0967	5.417	1.036	0.9799	1.0347	0.9899	0.9648	0.8721	1.1348	13.5069	0.5834	1.0443
100	8	5.5058	4.0428	9.8914	0.9409	1.4121	4.9279	1.0102	1.195	0.9134	1.0652	0.9741	0.9339	1.0282	13.128	0.5569	0.869
100	9	5.728	4.0486	9.7756	0.9163	0.9961	4.8868	0.9634	0.9611	0.9616	0.8945	1.0478	0.9065	0.9374	13.2044	0.3218	0.9287
100	10	5.7052	3.6401	10.13	0.9933	1.1167	4.9455	1.0318	1.0069	1.0162	0.9318	0.9302	0.8433	0.9888	13.0846	0.3672	0.7995
500	1	5.6774	3.654	10.8534	1.0269	0.967	5.4673	1.0089	0.9044	0.9288	0.862	0.9543	0.7708	0.9369	13.1322	0.5672	0.8908
500	2	5.8933	3.6643	10.3201	0.9856	0.9873	5.5558	1.0089	0.939	0.9893	0.9049	0.8945	0.7355	0.9322	13.0782	0.3318	0.8667
500	3	5.6579	3.6856	10.1832	0.9866	0.9647	5.567	1.0719	1.0155	1.5334	0.8756	0.9344	0.8523	0.9615	12.9826	0.3512	0.8825
500	4	5.6947	4.0283	10.3734	1.211	0.9766	5.3763	0.9439	1.0167	0.9655	0.9474	0.9553	0.7618	0.9466	12.6389	0.5674	1.0149
500	5	5.5259	3.9351	11.5178	1.0078	0.9444	5.4178	1.0367	1.1	0.9849	0.9266	0.9275	0.8106	0.9023	12.5659	0.5434	0.8764
500	6	5.4788	3.3225	10.5667	0.8152	1.0158	5.4476	1.011	1.0181	1.0422	0.9008	0.9439	0.7783	0.9093	12.9304	0.3656	0.7366
500	7	5.1852	4.0318	10.2284	0.965	0.9798	5.1864	0.9462	0.9934	0.9091	0.8542	0.9124	0.735	0.9979	13.022	0.3405	0.9111
500	8	5.3831	3.5609	9.4468	0.9555	0.9826	5.3715	0.9439	0.9708	1.036	0.9072	0.9151	0.7838	0.9383	12.7383	0.3545	0.8173
500	9	5.6054	4.0607	10.7102	0.9765	0.995	5.1318	1.0005	0.979	1.0482	0.9026	0.9345	0.7989	0.9667	13.0923	0.4058	0.8636
500	10	5.7714	4.3618	10.0552	0.9443	0.9646	5.4599	0.9808	0.9547	0.945	0.9177	0.9629	0.7926	0.9456	12.8833	0.354	0.9294
